"Внутренний идентификатор";"Название товара";"Тип товара";"Код товара";Артикул;Бренд;МРЦ;"МРЦ старая";"Оптовая цена Тариф 2";"Суммарное количество";Акция
1817654;"Линейный светильник Denkirs DK9304-WH";"Линейный светильник";623327;DK9304-WH;Denkirs;39844;;21733.00;0;Нет
1817655;"Линейный светильник Denkirs DK9303-WH";"Линейный светильник";623328;DK9303-WH;Denkirs;39844;;21733.00;0;Нет
1817743;"Профиль для шинопроводов Denkirs TR3030-AL";"Профиль для шинопроводов";622461;TR3030-AL;Denkirs;4709;;2639.00;28;Нет
1817746;"Заглушка Denkirs TR3060-AL";Заглушка;622465;TR3060-AL;Denkirs;559;;335.00;137;Нет
1818522;"Тубус для транспортировки шинопроводов Denkirs TB2000-80";"Тубус для транспортировки шинопроводов";625315;TB2000-80;Denkirs;170;;2.00;0;Нет
1818523;"Тубус для транспортировки шинопроводов Denkirs TB3000-120";"Тубус для транспортировки шинопроводов";625316;TB3000-120;Denkirs;260;;3.00;34;Нет
1820205;"Встраиваемый светильник Denkirs DK4032-WH";"Встраиваемый светильник";615242;DK4032-WH;Denkirs;1516;;850.00;17;Нет
1820206;"Накладной светильник Denkirs DK4013-BK";"Накладной светильник";615243;DK4013-BK;Denkirs;2090;;1150.00;302;Нет
1820207;"Накладной светильник Denkirs DK4013-WH";"Накладной светильник";615244;DK4013-WH;Denkirs;2090;;1150.00;715;Нет
1820208;"Встраиваемый светильник Denkirs DK4031-WH";"Встраиваемый светильник";615245;DK4031-WH;Denkirs;1766;;1000.00;1;Нет
1821352;"Профиль для шинопроводов Denkirs TR3050-AL";"Профиль для шинопроводов";629301;TR3050-AL;Denkirs;2399;;1367.00;5;Нет
1821368;"Заглушка Denkirs TR3052-AL";Заглушка;629302;TR3052-AL;Denkirs;119;;71.00;11;Нет
1821659;"Профиль для шинопроводов Denkirs TR3040-AL";"Профиль для шинопроводов";629227;TR3040-AL;Denkirs;6499;;3299.00;390;Нет
1821660;"Угол профиля Denkirs TR3041-AL";"Угол профиля";629228;TR3041-AL;Denkirs;2465;;1253.00;97;Нет
1821661;"Заглушка Denkirs TR3042-AL";Заглушка;629229;TR3042-AL;Denkirs;1149;;689.00;365;Нет
1821769;"Соединитель профиля Denkirs TR3043-AL";"Соединитель профиля";630439;TR3043-AL;Denkirs;429;;257.00;155;Нет
1822010;"Накладной светильник Denkirs DK3035-WH";"Накладной светильник";628023;DK3035-WH;Denkirs;1824;2719;1094.00;350;Нет
1822011;"Накладной светильник Denkirs DK3035-BK";"Накладной светильник";628024;DK3035-BK;Denkirs;1824;2719;1499.00;591;Нет
1822012;"Накладной светильник Denkirs DK3035-WB";"Накладной светильник";628025;DK3035-WB;Denkirs;1824;2719;1499.00;366;Нет
1822013;"Накладной светильник Denkirs DK3036-WH";"Накладной светильник";628026;DK3036-WH;Denkirs;1990;2719;1194.00;576;Нет
1822014;"Накладной светильник Denkirs DK3036-BK";"Накладной светильник";628027;DK3036-BK;Denkirs;1990;2719;1194.00;376;Нет
1822015;"Светильник на шине Denkirs DK8001-WH";"Светильник на шине";629676;DK8001-WH;Denkirs;4990;;2519.00;93;Нет
1822016;"Светильник на шине Denkirs DK8002-WH";"Светильник на шине";629677;DK8002-WH;Denkirs;6890;;3539.00;286;Нет
1822017;"Светильник на шине Denkirs DK8003-WH";"Светильник на шине";629678;DK8003-WH;Denkirs;4690;;2399.00;321;Нет
1822018;"Светильник на шине Denkirs DK8004-WH";"Светильник на шине";629679;DK8004-WH;Denkirs;6490;;3359.00;1310;Нет
1822019;"Светильник на шине Denkirs DK8006-WH";"Светильник на шине";629680;DK8006-WH;Denkirs;5790;;2879.00;247;Нет
1822020;"Светильник на шине Denkirs DK8007-WH";"Светильник на шине";629681;DK8007-WH;Denkirs;6869;;4121.00;1;Нет
1822021;"Светильник на шине Denkirs DK8005-WH";"Светильник на шине";630746;DK8005-WH;Denkirs;8590;;4379.00;739;Нет
1822022;"Шинопровод Denkirs TR2001-WH";Шинопровод;629669;TR2001-WH;Denkirs;2890;;1374.00;194;Нет
1822023;"Шинопровод Denkirs TR2002-WH";Шинопровод;629670;TR2002-WH;Denkirs;5950;;2754.00;409;Нет
1822024;"Шинопровод Denkirs TR2003-WH";Шинопровод;629671;TR2003-WH;Denkirs;8390;;4134.00;551;Нет
1822025;"Коннектор Denkirs TR2101-WH";Коннектор;629672;TR2101-WH;Denkirs;469;;257.00;605;Нет
1822026;"Подвод питания Denkirs TR2100-WH";"Подвод питания";629674;TR2100-WH;Denkirs;549;;299.00;1209;Нет
1822027;"Светильник на шине Denkirs DK8008-BK";"Светильник на шине";629683;DK8008-BK;Denkirs;6590;;3419.00;351;Нет
1822028;"Светильник на шине Denkirs DK8008-WH";"Светильник на шине";630747;DK8008-WH;Denkirs;6590;;3419.00;149;Нет
1822030;"Коннектор Denkirs TR2103-BK";Коннектор;611681;TR2103-BK;Denkirs;980;;539.00;2867;Нет
1822031;"Коннектор Denkirs TR2103-WH";Коннектор;629682;TR2103-WH;Denkirs;980;;539.00;357;Нет
1822037;"Соединитель для шинопровода Denkirs TR2102-WH";"Соединитель для шинопровода";629673;TR2102-WH;Denkirs;380;;210.00;311;Нет
1824958;"Накладной светильник Denkirs DK3030-WB";"Накладной светильник";632184;DK3030-WB;Denkirs;910;1541;853.00;264;Нет
1825283;"Встраиваемый светильник Denkirs DK3061-WBR";"Встраиваемый светильник";631271;DK3061-WBR;Denkirs;499;859;299.00;149;Нет
1825284;"Встраиваемый светильник Denkirs DK3071-WBR";"Встраиваемый светильник";631272;DK3071-WBR;Denkirs;560;986;550.00;463;Нет
1825285;"Встраиваемый светильник Denkirs DK3072-WBR";"Встраиваемый светильник";631273;DK3072-WBR;Denkirs;1121;1541;673.00;176;Нет
1825286;"Встраиваемый светильник Denkirs DK3061-BBR";"Встраиваемый светильник";631276;DK3061-BBR;Denkirs;499;859;299.00;156;Нет
1825287;"Встраиваемый светильник Denkirs DK3071-BBR";"Встраиваемый светильник";631277;DK3071-BBR;Denkirs;560;986;336.00;83;Нет
1825288;"Встраиваемый светильник Denkirs DK3072-BBR";"Встраиваемый светильник";631278;DK3072-BBR;Denkirs;1121;1541;673.00;135;Нет
1825290;"Накладной светильник Denkirs DK3090-BBR";"Накладной светильник";631270;DK3090-BBR;Denkirs;990;1739;959.00;99;Нет
1825291;"Накладной светильник Denkirs DK3080-WBR";"Накладной светильник";631274;DK3080-WBR;Denkirs;1739;;419.00;103;Нет
1825292;"Накладной светильник Denkirs DK3090-WBR";"Накладной светильник";631275;DK3090-WBR;Denkirs;990;1739;719.00;134;Нет
1825293;"Накладной светильник Denkirs DK3080-BBR";"Накладной светильник";631279;DK3080-BBR;Denkirs;699;1739;419.00;150;Нет
1825596;"Подвесной комплект Denkirs TR2106-WH";"Подвесной комплект";629675;TR2106-WH;Denkirs;609;;335.00;568;Нет
1851800;"Влагозащищенный светильник Denkirs DK3016-WH";"Влагозащищенный светильник";633476;DK3016-WH;Denkirs;1560;2410;936.00;671;Нет
1851801;"Влагозащищенный светильник Denkirs DK3016-BK";"Влагозащищенный светильник";633477;DK3016-BK;Denkirs;1560;2410;936.00;704;Нет
1853077;"Профиль для шинопроводов Denkirs TR3020-AL";"Профиль для шинопроводов";641320;TR3020-AL;Denkirs;2839;;1583.00;61;Нет
1853347;"Заглушка Denkirs TR3021-AL";Заглушка;641321;TR3021-AL;Denkirs;690;;371.00;29;Нет
1854019;"Заглушка Denkirs TR2107-BK";Заглушка;654120;TR2107-BK;Denkirs;179;;101.00;498;Нет
1854049;"Заглушка Denkirs TR2107-WH";Заглушка;654121;TR2107-WH;Denkirs;179;;101.00;199;Нет
1854165;"Wi-Fi реле Denkirs RL1001-SM";"Wi-Fi реле";653955;RL1001-SM;Denkirs;2488;;1439.00;167;Нет
1854166;"Wi-Fi реле Denkirs RL1002-SM";"Wi-Fi реле";653956;RL1002-SM;Denkirs;3310;;1866.00;61;Нет
1854167;"Wi-Fi реле Denkirs RL1003-DM";"Wi-Fi реле";653957;RL1003-DM;Denkirs;3577;;2026.00;71;Нет
1854168;"Wi-Fi реле Denkirs RL1004-DM";"Wi-Fi реле";653958;RL1004-DM;Denkirs;4377;;2506.00;150;Нет
1854697;"Встраиваемый светильник Denkirs DK3061-WH+CH";"Встраиваемый светильник";654391;DK3061-WH+CH;Denkirs;859;;479.00;125;Нет
1854699;"Встраиваемый светильник Denkirs DK3061-BK";"Встраиваемый светильник";654393;DK3061-BK;Denkirs;859;;299.00;178;Нет
1854701;"Встраиваемый светильник Denkirs DK3061-BK+WH";"Встраиваемый светильник";654395;DK3061-BK+WH;Denkirs;859;;299.00;101;Нет
1854702;"Встраиваемый светильник Denkirs DK3071-WH+BK";"Встраиваемый светильник";654396;DK3071-WH+BK;Denkirs;560;986;550.00;312;Нет
1854703;"Встраиваемый светильник Denkirs DK3071-WH+CH";"Встраиваемый светильник";654397;DK3071-WH+CH;Denkirs;560;986;550.00;272;Нет
1854705;"Встраиваемый светильник Denkirs DK3071-WH";"Встраиваемый светильник";654399;DK3071-WH;Denkirs;560;986;550.00;652;Нет
1854706;"Встраиваемый светильник Denkirs DK3071-BK";"Встраиваемый светильник";654400;DK3071-BK;Denkirs;986;;336.00;132;Нет
1854708;"Встраиваемый светильник Denkirs DK3071-BK+RD";"Встраиваемый светильник";654402;DK3071-BK+RD;Denkirs;986;;550.00;1;Нет
1854709;"Встраиваемый светильник Denkirs DK3071-BK+WH";"Встраиваемый светильник";654403;DK3071-BK+WH;Denkirs;560;986;550.00;140;Нет
1854710;"Встраиваемый светильник Denkirs DK3072-WH+BK";"Встраиваемый светильник";654404;DK3072-WH+BK;Denkirs;1121;1541;853.00;256;Нет
1854711;"Встраиваемый светильник Denkirs DK3072-WH+CH";"Встраиваемый светильник";654405;DK3072-WH+CH;Denkirs;1541;;853.00;2;Нет
1854713;"Встраиваемый светильник Denkirs DK3072-WH";"Встраиваемый светильник";654407;DK3072-WH;Denkirs;1541;;853.00;1267;Нет
1854714;"Встраиваемый светильник Denkirs DK3072-BK";"Встраиваемый светильник";654408;DK3072-BK;Denkirs;1541;;673.00;387;Нет
1854715;"Встраиваемый светильник Denkirs DK3072-BK+CH";"Встраиваемый светильник";654409;DK3072-BK+CH;Denkirs;1121;1541;853.00;88;Нет
1854716;"Встраиваемый светильник Denkirs DK3072-BK+RD";"Встраиваемый светильник";654410;DK3072-BK+RD;Denkirs;1121;1541;853.00;5;Нет
1854717;"Встраиваемый светильник Denkirs DK3072-BK+WH";"Встраиваемый светильник";654411;DK3072-BK+WH;Denkirs;1121;1541;853.00;115;Нет
1854718;"Накладной светильник Denkirs DK3080-WH+BK";"Накладной светильник";654412;DK3080-WH+BK;Denkirs;1739;;959.00;110;Нет
1854720;"Накладной светильник Denkirs DK3080-WH+RD";"Накладной светильник";654414;DK3080-WH+RD;Denkirs;1739;;959.00;15;Нет
1854721;"Накладной светильник Denkirs DK3080-WH";"Накладной светильник";654415;DK3080-WH;Denkirs;1739;;959.00;244;Нет
1854722;"Накладной светильник Denkirs DK3080-WB+WH";"Накладной светильник";654416;DK3080-WB+WH;Denkirs;1199;1739;719.00;95;Нет
1854723;"Накладной светильник Denkirs DK3080-BK";"Накладной светильник";654417;DK3080-BK;Denkirs;1739;;959.00;100;Нет
1854725;"Накладной светильник Denkirs DK3080-BK+RD";"Накладной светильник";654419;DK3080-BK+RD;Denkirs;1739;;959.00;1;Нет
1854727;"Накладной светильник Denkirs DK3080-BW+BK";"Накладной светильник";654421;DK3080-BW+BK;Denkirs;1199;1739;719.00;252;Нет
1854728;"Накладной светильник Denkirs DK3090-WH+BK";"Накладной светильник";654422;DK3090-WH+BK;Denkirs;990;1739;959.00;150;Нет
1854729;"Накладной светильник Denkirs DK3090-WH+CH";"Накладной светильник";654423;DK3090-WH+CH;Denkirs;990;1739;959.00;200;Нет
1854730;"Накладной светильник Denkirs DK3090-WH+RD";"Накладной светильник";654424;DK3090-WH+RD;Denkirs;990;1739;959.00;11;Нет
1854731;"Накладной светильник Denkirs DK3090-WH";"Накладной светильник";654425;DK3090-WH;Denkirs;1739;;959.00;335;Нет
1854732;"Накладной светильник Denkirs DK3090-WB+WH";"Накладной светильник";654426;DK3090-WB+WH;Denkirs;1739;;719.00;352;Нет
1854733;"Накладной светильник Denkirs DK3090-BK";"Накладной светильник";654427;DK3090-BK;Denkirs;1739;;719.00;168;Нет
1854734;"Накладной светильник Denkirs DK3090-BK+CH";"Накладной светильник";654428;DK3090-BK+CH;Denkirs;1739;;959.00;7;Нет
1854736;"Накладной светильник Denkirs DK3090-BK+WH";"Накладной светильник";654430;DK3090-BK+WH;Denkirs;1739;;719.00;27;Нет
1854737;"Накладной светильник Denkirs DK3090-BW+BK";"Накладной светильник";654431;DK3090-BW+BK;Denkirs;990;1739;719.00;234;Нет
1854740;"Накладной светильник Denkirs DK3085-WH+BR";"Накладной светильник";654434;DK3085-WH+BR;Denkirs;2190;3070;1722.00;102;Нет
1854741;"Накладной светильник Denkirs DK3085-WH+RD";"Накладной светильник";654435;DK3085-WH+RD;Denkirs;3070;;1722.00;25;Нет
1854742;"Накладной светильник Denkirs DK3085-WH";"Накладной светильник";654436;DK3085-WH;Denkirs;3070;;1722.00;95;Нет
1854743;"Накладной светильник Denkirs DK3085-WB+WH";"Накладной светильник";654437;DK3085-WB+WH;Denkirs;2190;3070;1722.00;3;Нет
1854744;"Накладной светильник Denkirs DK3085-BK";"Накладной светильник";654438;DK3085-BK;Denkirs;3070;;1722.00;158;Нет
1854745;"Накладной светильник Denkirs DK3085-BK+CH";"Накладной светильник";654439;DK3085-BK+CH;Denkirs;3070;;1722.00;60;Нет
1854746;"Накладной светильник Denkirs DK3085-BK+BR";"Накладной светильник";654440;DK3085-BK+BR;Denkirs;2190;3070;1722.00;63;Нет
1854749;"Накладной светильник Denkirs DK3085-BW+BK";"Накладной светильник";654443;DK3085-BW+BK;Denkirs;2190;3070;1722.00;67;Нет
1854751;"Накладной светильник Denkirs DK3096-WH+BR";"Накладной светильник";654446;DK3096-WH+BR;Denkirs;3070;;1722.00;7;Нет
1854752;"Накладной светильник Denkirs DK3096-WH+RD";"Накладной светильник";654447;DK3096-WH+RD;Denkirs;3070;;1722.00;21;Нет
1854753;"Накладной светильник Denkirs DK3096-WH";"Накладной светильник";654448;DK3096-WH;Denkirs;2190;3070;1722.00;17;Нет
1854755;"Накладной светильник Denkirs DK3096-BK";"Накладной светильник";654450;DK3096-BK;Denkirs;3070;;1314.00;106;Нет
1854757;"Накладной светильник Denkirs DK3096-BK+BR";"Накладной светильник";654452;DK3096-BK+BR;Denkirs;3070;;1722.00;61;Нет
1854760;"Накладной светильник Denkirs DK3096-BW+BK";"Накладной светильник";654455;DK3096-BW+BK;Denkirs;3070;;1314.00;74;Нет
1854761;"Встраиваемый светильник Denkirs DK3061-WH+BK";"Встраиваемый светильник";654456;DK3061-WH+BK;Denkirs;859;;479.00;408;Нет
1854764;"Накладной светильник Denkirs DK3096-WB+WH";"Накладной светильник";654444;DK3096-WB+WH;Denkirs;3070;;1722.00;0;Нет
1854766;"Встраиваемый светильник Denkirs DK3061-WH";"Встраиваемый светильник";649419;DK3061-WH;Denkirs;630;859;479.00;682;Нет
1854796;"Угол профиля Denkirs TR3045-AL";"Угол профиля";654095;TR3045-AL;Denkirs;399;;239.00;149;Нет
1854803;"Угол профиля Denkirs TR3031-AL";"Угол профиля";654096;TR3031-AL;Denkirs;1796;;1007.00;43;Нет
1854872;"Шинопровод Denkirs TR1003-BK";Шинопровод;631280;TR1003-BK;Denkirs;2870;;1524.00;174;Нет
1854887;"Светильник на шине Denkirs DK6030-WH";"Светильник на шине";651267;DK6030-WH;Denkirs;1890;2033;1100.00;511;Нет
1854888;"Светильник на шине Denkirs DK6030-BK";"Светильник на шине";651269;DK6030-BK;Denkirs;2033;;1100.00;207;Нет
1854889;"Светильник на шине Denkirs DK6040-WH";"Светильник на шине";651268;DK6040-WH;Denkirs;2033;;1100.00;640;Нет
1854890;"Светильник на шине Denkirs DK6040-BK";"Светильник на шине";651270;DK6040-BK;Denkirs;2033;;1100.00;495;Нет
1854891;"Светильник на шине Denkirs DK6430-BK";"Светильник на шине";654123;DK6430-BK;Denkirs;3816;;2050.00;434;Нет
1854892;"Светильник на шине Denkirs DK6430-WH";"Светильник на шине";655162;DK6430-WH;Denkirs;3416;3816;2050.00;307;Нет
1854893;"Светильник на шине Denkirs DK6440-BK";"Светильник на шине";654122;DK6440-BK;Denkirs;3816;;2050.00;661;Нет
1854894;"Светильник на шине Denkirs DK6440-WH";"Светильник на шине";655161;DK6440-WH;Denkirs;3816;;2050.00;289;Нет
1854895;"Светильник на шине Denkirs DK8010-BK";"Светильник на шине";654114;DK8010-BK;Denkirs;6390;;3239.00;2129;Нет
1854896;"Светильник на шине Denkirs DK8010-WH";"Светильник на шине";654115;DK8010-WH;Denkirs;6390;;3239.00;1294;Нет
1854897;"Светильник на шине Denkirs DK8020-WH";"Светильник на шине";654116;DK8020-WH;Denkirs;7390;;3719.00;458;Нет
1854898;"Светильник на шине Denkirs DK8020-BK";"Светильник на шине";654117;DK8020-BK;Denkirs;7390;;3719.00;859;Нет
1855026;"Шинопровод Denkirs TR1003-WH";Шинопровод;631281;TR1003-WH;Denkirs;2870;;1524.00;415;Нет
1855027;"Светодиодный модуль Denkirs DK3000-5W";"Светодиодный модуль";651252;DK3000-5W;Denkirs;333;416;250.00;2655;Нет
1857534;"Светильник на шине Denkirs DK8009-BK";"Светильник на шине";655647;DK8009-BK;Denkirs;6490;;3359.00;1219;Нет
1858289;"Встраиваемый светильник Denkirs DK3061-WH+YE";"Встраиваемый светильник";665667;DK3061-WH+YE;Denkirs;499;859;479.00;3;Нет
1858294;"Встраиваемый светильник Denkirs DK3061-BK+PI";"Встраиваемый светильник";665672;DK3061-BK+PI;Denkirs;499;859;479.00;8;Нет
1858295;"Встраиваемый светильник Denkirs DK3061-BK+СY";"Встраиваемый светильник";665673;DK3061-BK+СY;Denkirs;499;859;479.00;5;Нет
1858301;"Встраиваемый светильник Denkirs DK3071-BK+YE";"Встраиваемый светильник";665679;DK3071-BK+YE;Denkirs;560;986;550.00;6;Нет
1858302;"Встраиваемый светильник Denkirs DK3071-BK+PI";"Встраиваемый светильник";665680;DK3071-BK+PI;Denkirs;560;986;550.00;8;Нет
1858308;"Встраиваемый светильник Denkirs DK3072-BK+GR";"Встраиваемый светильник";665686;DK3072-BK+GR;Denkirs;1121;1541;853.00;2;Нет
1858309;"Встраиваемый светильник Denkirs DK3072-BK+PI";"Встраиваемый светильник";665687;DK3072-BK+PI;Denkirs;1121;1541;853.00;20;Нет
1858320;"Накладной светильник Denkirs DK3090-WH+YE";"Накладной светильник";665698;DK3090-WH+YE;Denkirs;1739;;959.00;3;Нет
1858321;"Накладной светильник Denkirs DK3090-WH+PI";"Накладной светильник";665699;DK3090-WH+PI;Denkirs;990;1739;959.00;2;Нет
1858323;"Накладной светильник Denkirs DK3090-BK+GR";"Накладной светильник";665701;DK3090-BK+GR;Denkirs;1739;;959.00;3;Нет
1858324;"Накладной светильник Denkirs DK3090-BK+YE";"Накладной светильник";665702;DK3090-BK+YE;Denkirs;1739;;959.00;1;Нет
1858326;"Накладной светильник Denkirs DK3090-BK+CY";"Накладной светильник";665704;DK3090-BK+CY;Denkirs;990;1739;959.00;12;Нет
1858337;"Накладной светильник Denkirs DK3096-WH+PI";"Накладной светильник";665715;DK3096-WH+PI;Denkirs;3070;;1722.00;6;Нет
1858341;"Накладной светильник Denkirs DK3096-BK+CY";"Накладной светильник";665719;DK3096-BK+CY;Denkirs;2190;3070;1722.00;6;Нет
1858521;"Светильник на шине Denkirs DK6630-BK";"Светильник на шине";657236;DK6630-BK;Denkirs;5721;;2773.00;102;Нет
1858522;"Светильник на шине Denkirs DK6640-BK";"Светильник на шине";657237;DK6640-BK;Denkirs;5721;;2773.00;441;Нет
1859781;"Экран для шинопровода Denkirs TR2010-BK";"Экран для шинопровода";666645;TR2010-BK;Denkirs;432;;247.00;1294;Нет
1859931;"Встраиваемый светильник Denkirs DK2500-BK";"Встраиваемый светильник";666756;DK2500-BK;Denkirs;1558;1933;935.00;110;Нет
1859932;"Встраиваемый светильник Denkirs DK2500-WH";"Встраиваемый светильник";666758;DK2500-WH;Denkirs;1558;1933;935.00;64;Нет
1859933;"Встраиваемый светильник Denkirs DK2700-WH";"Встраиваемый светильник";666757;DK2700-WH;Denkirs;2350;;1142.00;0;Нет
1859940;"Встраиваемый светильник Denkirs DK3400-WH";"Встраиваемый светильник";666749;DK3400-WH;Denkirs;1039;;414.00;30;Нет
1859941;"Встраиваемый светильник Denkirs DK3500-WH";"Встраиваемый светильник";666750;DK3500-WH;Denkirs;1216;;700.00;18;Нет
1860156;"Светильник на шине Denkirs DK8018-BK";"Светильник на шине";655648;DK8018-BK;Denkirs;10490;;5699.00;269;Нет
1860157;"Встраиваемый светильник Denkirs DK3055-WH";"Встраиваемый светильник";658306;DK3055-WH;Denkirs;761;;384.00;2108;Нет
1860158;"Накладной светильник Denkirs DK3110-WH";"Накладной светильник";666241;DK3110-WH;Denkirs;680;885;408.00;826;Нет
1860159;"Накладной светильник Denkirs DK3110-BK";"Накладной светильник";666242;DK3110-BK;Denkirs;680;885;408.00;579;Нет
1860160;"Светильник на шине Denkirs DK6501-WH";"Светильник на шине";666237;DK6501-WH;Denkirs;690;1158;695.00;1045;Нет
1860377;"Светильник на шине Denkirs DK6502-BK";"Светильник на шине";666240;DK6502-BK;Denkirs;990;1350;810.00;1;Нет
1862507;"Светодиодный модуль Denkirs DK3000-7W";"Светодиодный модуль";674609;DK3000-7W;Denkirs;515;;273.00;6573;Нет
1862508;"Светодиодный модуль Denkirs DK4000-7W";"Светодиодный модуль";674610;DK4000-7W;Denkirs;515;;273.00;11841;Нет
1862513;"Светодиодный модуль Denkirs DK3000-7W-BK";"Светодиодный модуль";674943;DK3000-7W-BK;Denkirs;595;;315.00;5096;Нет
1862514;"Светодиодный модуль Denkirs DK4000-7W-BK";"Светодиодный модуль";674944;DK4000-7W-BK;Denkirs;595;;315.00;6107;Нет
1863341;"Экран для шинопровода Denkirs TR2010-WH";"Экран для шинопровода";677697;TR2010-WH;Denkirs;432;;247.00;2118;Нет
1865644;"Коннектор Denkirs TR1008-BK";Коннектор;679444;TR1008-BK;Denkirs;730;;414.00;389;Нет
1865645;"Коннектор Denkirs TR1008-WH";Коннектор;679445;TR1008-WH;Denkirs;730;;414.00;343;Нет
1866617;"Встраиваемый светильник Denkirs DK2120-WH";"Встраиваемый светильник";677523;DK2120-WH;Denkirs;1540;1840;1019.00;1454;Нет
1866618;"Встраиваемый светильник Denkirs DK2120-BK";"Встраиваемый светильник";677524;DK2120-BK;Denkirs;1840;;839.00;800;Нет
1866619;"Встраиваемый светильник Denkirs DK2121-WH";"Встраиваемый светильник";677525;DK2121-WH;Denkirs;1640;1940;1079.00;1029;Нет
1866620;"Встраиваемый светильник Denkirs DK2121-BK";"Встраиваемый светильник";677526;DK2121-BK;Denkirs;1640;1940;959.00;618;Нет
1866621;"Встраиваемый светильник Denkirs DK2122-BK";"Встраиваемый светильник";677528;DK2122-BK;Denkirs;3390;;1919.00;507;Нет
1866622;"Бра Denkirs DK5010-BK";Бра;679471;DK5010-BK;Denkirs;6840;;3779.00;54;Нет
1866623;"Бра Denkirs DK5012-BK";Бра;679472;DK5012-BK;Denkirs;8940;;4919.00;0;Нет
1866624;"Бра Denkirs DK5014-BK";Бра;679473;DK5014-BK;Denkirs;10240;;5639.00;0;Нет
1866625;"Подсветка ступеней лестницы Denkirs DK3050-BK";"Подсветка ступеней лестницы";685992;DK3050-BK;Denkirs;1610;;899.00;526;Нет
1866626;"Подсветка ступеней лестницы Denkirs DK1020-WH";"Подсветка ступеней лестницы";685993;DK1020-WH;Denkirs;2380;3240;1799.00;592;Нет
1866627;"Подсветка ступеней лестницы Denkirs DK1020-BK";"Подсветка ступеней лестницы";685994;DK1020-BK;Denkirs;2380;3240;1428.00;440;Нет
1866628;"Встраиваемый светильник Denkirs DK2122-WH";"Встраиваемый светильник";677527;DK2122-WH;Denkirs;3390;;1919.00;84;Нет
1866645;"Светильник на шине Denkirs DK6201-BG";"Светильник на шине";678704;DK6201-BG;Denkirs;1490;;774.00;219;Нет
1866646;"Подвесной светильник Denkirs DK4050-BK";"Подвесной светильник";678707;DK4050-BK;Denkirs;2840;;1344.00;289;Нет
1866647;"Подвесной светильник Denkirs DK4050-WH";"Подвесной светильник";678703;DK4050-WH;Denkirs;2840;;1254.00;109;Нет
1866648;"Светильник на шине Denkirs DK6210-BG";"Светильник на шине";678706;DK6210-BG;Denkirs;2930;;1494.00;133;Нет
1866832;"Светильник на шине Denkirs DK8009-WH";"Светильник на шине";686072;DK8009-WH;Denkirs;6490;;3359.00;265;Нет
1867188;"Подвесной светильник Denkirs DK4303-WH";"Подвесной светильник";680442;DK4303-WH;Denkirs;4960;6080;2976.00;34;Нет
1867189;"Подвесной светильник Denkirs DK4303-BK";"Подвесной светильник";680443;DK4303-BK;Denkirs;6080;;3354.00;0;Нет
1867190;"Подвесной светильник Denkirs DK4304-WH";"Подвесной светильник";680444;DK4304-WH;Denkirs;6080;;2976.00;43;Нет
1867191;"Подвесной светильник Denkirs DK4304-BK";"Подвесной светильник";680445;DK4304-BK;Denkirs;6080;;3354.00;0;Нет
1873061;"Светильник на шине Denkirs DK6202-BG";"Светильник на шине";678705;DK6202-BG;Denkirs;1930;;954.00;383;Нет
1873062;"Подвесной светильник Denkirs DK4050-BG";"Подвесной светильник";678708;DK4050-BG;Denkirs;2740;2940;1404.00;323;Нет
1873073;"Встраиваемый светильник Denkirs DK2062-WH";"Встраиваемый светильник";680427;DK2062-WH;Denkirs;2190;;1134.00;1262;Нет
1873074;"Подвесной светильник Denkirs DK4045-BK";"Подвесной светильник";680440;DK4045-BK;Denkirs;4290;;2094.00;59;Нет
1873075;"Подвесной светильник Denkirs DK4045-WH";"Подвесной светильник";680441;DK4045-WH;Denkirs;4290;;2094.00;111;Нет
1873503;"Накладной светильник Denkirs DK2050-SG";"Накладной светильник";678709;DK2050-SG;Denkirs;900;;438.00;181;Нет
1873504;"Накладной светильник Denkirs DK2051-SG";"Накладной светильник";678710;DK2051-SG;Denkirs;1380;;654.00;171;Нет
1873505;"Накладной светильник Denkirs DK2052-SG";"Накладной светильник";678711;DK2052-SG;Denkirs;1680;;768.00;2;Нет
1873530;"Профиль для декоративных ниш и потолков Denkirs DK5850-WH";"Профиль для декоративных ниш и потолков";696595;DK5850-WH;Denkirs;6890;;4134.00;4;Нет
1873531;"Профиль для декоративных ниш и потолков Denkirs DK5850-BK";"Профиль для декоративных ниш и потолков";696594;DK5850-BK;Denkirs;6890;;4134.00;8;Нет
1873532;"Комплект заглушек для декоративных ниш Denkirs DK5852-BK";"Комплект заглушек для декоративных ниш";696598;DK5852-BK;Denkirs;1150;;690.00;18;Нет
1873533;"Комплект заглушек для декоративных ниш Denkirs DK5852-WH";"Комплект заглушек для декоративных ниш";696599;DK5852-WH;Denkirs;1150;;690.00;5;Нет
1873534;"Угловой элемент для декоративных ниш Denkirs DK5851-WH";"Угловой элемент для декоративных ниш";696597;DK5851-WH;Denkirs;2290;;1374.00;5;Нет
1873535;"Угловой элемент для декоративных ниш Denkirs DK5851-BK";"Угловой элемент для декоративных ниш";696596;DK5851-BK;Denkirs;2290;;1374.00;7;Нет
1873544;"Шинопровод Denkirs TR2012-BK";Шинопровод;679436;TR2012-BK;Denkirs;7930;;4194.00;1256;Нет
1873545;"Шинопровод Denkirs TR2012-WH";Шинопровод;679437;TR2012-WH;Denkirs;5790;7930;4194.00;886;Нет
