"Внешний код";"Заголовок окна браузера [TITLE]";"URL страницы детального просмотра";"Уникальное наименование в детальной карточке товара [H1_DETAIL]";"Мета-описание [META_DESCRIPTION]";"Краткое наименование [short_title]";"Наименование элемента";"Название раздела";"Название раздела";"Название раздела";"Количество на складе ""Основной склад (с. Дмитровское)""";"Количество на складе ""Питер""";"Цена ""Розничная цена""";"Валюта для цены ""Розничная цена""";"Артикул [ARTNUMBER]";"Бренд [MANUFACTURER]";"Напряжение, В [naprjazhenie]";"Коллекция [Collection_LUX_SVET]";"Цвет свечения [EMISSION_COLOR]";"Мощность 1м, Вт [POWER_1METR]";"Размер светодиода [razmer_svetodioda]";"Цветовая температура, K [LOW_EMISSION]";"Количество светодиодов [NUMBER_OF_LEDS]";"Ток на 1м, А [CURRENT_1METR]";"Угол рассевиания [VIEWING_ANGLE]";"Вес, гр. [WEIGHT]";"Диаметр, мм [DIAMETR]";"Размер сегмента (мм) [size_section]";"CRI [CRI]";"Рабочий даипазон температур, ̊С [temperature_range]";"Рабочий диапазон влажности [humidity_range]";"Размер для монтажа ленты [size_mounting]";"Тип монтажа [mounting_type]";"Максимальный выходной ток, А [output_current]";"Выходное напряжение, В [output_voltage]";"Мощность, Вт [POWER]";"Размеры (ДхШхВ), мм [dimensions]";"Защита от КЗ [protection_kz]";"Кол-во светодиодов на модуль, шт [NUMBER_OF_LEDS_MODUL]";"Длина провода, см [dean_wire]";"Серия [series]";"Тип [tip]";"Материал [material]";"Мощность модуля, Вт [moshchnost_na_modul]";"Световой поток на модуль, Лм [svetovoy_potok_modul]";"Цвет [COLOR]";"Рабочее напряжение, В [rabochee_napryazhenie]";"Кол-во каналов, шт [kolichestvovo_kanalov]";"Цоколь [cokol]";"Характеристики драйвера [harakteristiki_drayvera]";"Монтажное отверстие [montazhnoe_otverstie]";"Размер кристалла [razmer_kristalla]";"Тип люстры [tip_lyustry]";"Тип датчика [tip_datchika]";"Питание [pitanie]";"Тип управления [tip_upravleniya]";"Модель [model]";"Исполнение [ispolnenie]";"Наличие сенсора [nalichie_sensora]";"Тип матрицы [tip_matricy]";"Источник света [istochnik_sveta]";"Лм/Вт [lmvt]";"Количество рядов [kolichestvo_ryadov]";"Рекомендуемая лента [rekomenduemaya_lenta]";"Форма [form]";"Срок службы, ч [srok_sluzhby]";"Качество [kachestvo]";"Гарантия [garantiya]";"Производитель чипа [proizvoditel_chipa]";"Кол-во диодов на сегмент [diod_segment]";"Способ монтажа [sposob_montaj]";"Комплектация [komplektaciya]";"Тип светодиода [tip_svetodioda]";"Частота радиосигнала, Гц [chastota_radiosignala]";"Тип драйвера [tip_drayvera]";"Тип светильника [tip_svetilnika]";"Длина, мм [dlina_katushki]";"Угол свечения [ugol_svecheniya]";"Максимальная ширина ленты [maksimalnaya_shirina_lenty]";"Диммирование [dimmirovanie]";"Кол-во диодов на сегмент, шт [diodov_na_segment]";"Потребляемый от сети ток, А [potreblyaemyy_ot_seti_tok]";"Защита от перегрузки [zashchita_ot_peregruzki]";"Защита от перегрева [zashchita_ot_peregreva]";"Кол-во светодиодов, шт/м [kol_vo_svetodiodov_shtm]";"Размер секции, мм [razmer_sekcii]";"Тип лампы [tip_lampy]";"Цвет корпуса [cvet_korpusa]";"Размеры блока, мм [razmery_bloka]";"Размеры датчика, мм [razmery_datchika]";"Выходной ток драйвера, мА [vyhodnoy_tok_drayvera_ma]";"Выходной диапазон напряжений драйвера, В [vyh_dia_napryazh_drayvera]";"Световой поток 1м, Лм [svetovoy_potok_1m_lm]";"Производитель светодиода [proizvoditel_svetodioda]";"Максимальная мощность ленты на 1м, Вт [maks_mosht_na_1m_vt]";"Внутренние размеры [vnutrennie_razmery]";"Тип блока питания [tip_bloka_pitaniya]";"Тип диммирования [tip_dimmirovaniya]";"Защита от превышения входного напряжения [zashchita_ot_vhod_napryazh]";"Диапазон выходных напряжений драйвера, В [dia_vyhod_napryaz_drayvera]";"Наличие вентилятора [nalichie_ventilyatora]";"Рабочий даипазон сетевого напряжения, В [rab_dai_set_napryaz_v]";"Максимальный ток, А [max_tok]";"Кратность резки, мм [kratnost_rezki]";"Кратность резки, LED [kratnost_rezki_led]";"Ток, А/м [tok_am]";"Полость под блок питания, мм [Polost_BP]";"PF [PF]";"КПД [kpd]";"Выход [vihod]";"Выходной сигнал [vihodnoy_signal]";"Батарея [battery]";"Количество зон управления, шт [kolvo_zon_upravl]";"Максимальный ток на канал, А [max_tok_kanal]";"Тип дерева [tip_dereva]";"Ширина встройки, мм [Shirina_vstroiki]";"Выходной ток, мА [Vihodnoy_tok_ma]";"Выходной ток, А [Vihodnoy_tok_A]";"Количество модулей в связке, шт [kolvo_moduley_v_svyazke]";"Глубина встройки, мм [glubina_vstroyki]";"Длина волны, нм [dlina_volny_nm]";"Степень защиты, IP [PROTECTION_LEVEL]";"Световой поток, Лм [light_flow]";"Размеры, мм [PROPORTIONS]";"Детальная картинка (путь)";"Фотографии галереи [MORE_PHOTO]"
"00-00003776";"Купить Драйвер диммируемый COMBO fs-lmtc15w350-z в SWG";"/catalog/svetilniki/drayvery/dimmiruemye/fs-lmtc15w350-z/";"Драйвер диммируемый COMBO fs-lmtc15w350-z";"Заказать Драйвер диммируемый COMBO fs-lmtc15w350-z с доставкой! Подбор и настройка оборудования! Расчет освещенности! На связи с 9.00 до 21.00 без выходных!";"FS-LMTC15W350-Z";"(заменен на DRV-EUP12T-1HMC-0)";"Светильники";"Драйверы";"Диммируемые";"8";"0";"2731.00";"RUB";"003776";"SWG PRO";"";"";"";"";"";"";"";"";"";"";"";"";"";"-20-+50";"";"";"";"";"26-43";"15";"85x40.4x22";"";"";"";"";"Драйвер / Диммируемый";"";"";"";"";"220-240";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3 года";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRIAC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"300";"";"";"";"";"20";"";"";"/upload/iblock/b31/b31052da5de3e8c8db0ef40084add594.png";""
"9916";"Combo 2.0 Adjustable наклонно-поворотный - купить в интернет магазине SWG";"/catalog/svetilniki/potolochnye/konstruktory/combo2/combo_2_0_adjustable/";"Combo 2.0 Adjustable наклонно-поворотный";"Заказать Combo 2.0 Adjustable наклонно-поворотный в интернет-магазине SWG по низкой стоимости с доставкой. Акции и скидки для новых клиентов. Бесплатная доставка от #WF_ORDER_PRICE#!";"";"Combo 2.0 Adjustable наклонно-поворотный";"Светильники";"Потолочные";"Светильники-конструкторы";"";"";"7337.00";"RUB";"";"LUMKER";"";"";"";"";"";"";"";"";"";"";"";"";"90";"";"";"";"Встраиваемый";"";"";"от 10";"";"";"";"";"Combo2";"Наклонно-поворотный";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 лет";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"от 1003";"";"/upload/iblock/064/064a5c3b70c3582d33868e1132f0a59e.png";"/upload/iblock/ddc/ddc5e8480d79baa0dce48060fd6a751d.png;/upload/iblock/19f/19fdb980643ed8c67a778d19160e3d06.png;/upload/iblock/31b/31b0c0679a320fe1ff88bb5e4f2cc8a2.png;/upload/iblock/0b2/0b22607c39f2da911271b180453a8dba.png;/upload/iblock/c2d/c2d2e457801e872c3e21de7e70e8474d.png;/upload/iblock/1d7/1d7ebffd865deec4f837b3e10f7e2a76.png;/upload/iblock/940/940880c05b58f3a45f7521ef17c5c8a5.png;/upload/iblock/c64/c649485f2753f5def67b534f02b9696b.png;/upload/iblock/898/898ceb1c381e03ac268751502d95a5ed.png;/upload/iblock/ced/ced74a2a6a3a87eeaf2aff276fd198a5.png;/upload/iblock/56a/56a3c69b9cae8d84d2f6cebc9b5cd1a9.png;/upload/iblock/98c/98c85721fc7488f4dd41100f2e1face6.png;/upload/iblock/2bd/2bd35929aea317b1358c7427f3017371.jpg;/upload/iblock/832/8320b0c329a35db860eaa9af24e56e34.jpg;/upload/iblock/75a/75ade1d10f28834dc1299586c84326b6.jpg;/upload/iblock/826/8260ecc1efbe8341d076bc2996a3cf1f.jpg;/upload/iblock/c45/c453cce06f502da634fa27fe6df629a7.png;/upload/iblock/be7/be77d9c0dbc6800f163fea2afcd147e1.png;/upload/iblock/941/94168a83d065ee75855d6517636f79cc.png;/upload/iblock/59e/59eea65fa80b38dcebee883ffbb678e0.png;/upload/iblock/9bd/9bd3e4b24465cc949feacb8dc700490a.png;/upload/iblock/c19/c1986b8e281ac4ccff61b617aeb0df7b.png;/upload/iblock/b4b/b4b3d7a97f26b2e2ecb9e2f46d6df033.png;/upload/iblock/280/280e34019098577804c39f75ab059a1a.png;/upload/iblock/be3/ubbdncv5twbey1kvbjzzpzt4ffg2z676.png;/upload/iblock/1f4/maxgbe3n4n9xc1lqsw38fe6pu78uauvz.png;/upload/iblock/234/c6rdfhlqvmzr45x3vt1axgkp9k40x4x1.png;/upload/iblock/862/j32yk5717wvujxuvrx4ocr4snctj83mk.png;/upload/iblock/0ae/adlnbt3g4mua9jnkqgonb67rwqc31jxa.png;/upload/iblock/a61/2o2c5tu9seoxiqvhd3o3kbhxcfkq3qy6.png;/upload/iblock/103/c2s3jgbfupgdhh6l0hsac0gyvrnfo3x0.png;/upload/iblock/e1f/6qv1fqbj9kmlcroy0ht4yemlqpj5trau.png;/upload/iblock/c04/gwt9fqvu40tnatjgy4h9aeins8idn2ij.png;/upload/iblock/399/6d2mzl1l78mns5u63t0wg69zhkc9kr6u.png;/upload/iblock/11f/trf4qv2rcext34539b2k92333fv3duv8.png;/upload/iblock/5c5/4arnvkvdpwbkhy23unewjroiazd8fu7g.png;/upload/iblock/600/llfzki4bcva626r0zj3ea3apyd0b7isz.png;/upload/iblock/c4d/b9a15lix32am9s31oarmq056ygcyaebs.png;/upload/iblock/8e2/n8zk8j57e3zj8wr460txo2niwu4mde4y.png;/upload/iblock/f54/9zbythfppb0g105wcwr46ay095ky66n2.png;/upload/iblock/aa8/lul0yku5q4lttcgrpwdfgssxfe6j3w8y.png;/upload/iblock/185/ivx3myk7peght9yhwh8uj7kgvgt9iloq.png;/upload/iblock/584/m8k7kdhf0m06g5j0kexhfi4x0o9o79n9.png;/upload/iblock/a94/tqu88tdcyzy7wmrjtudkakcp04gkvi5c.png;/upload/iblock/e92/xgruesyvfbxrgujsvkwqunl6fknz9dyo.png;/upload/iblock/89c/nn0o51z1r8mrp5dxmz8j12joz5uaissa.png;/upload/iblock/92d/0q7j9jd9q3s79pjlhls0n5j2n772vh1t.png;/upload/iblock/133/mvrmp3h9v593o46uxjdonm4x84zmgs1k.png"
"10322";"Combo 2.0 EKKO 1";"/catalog/svetilniki/potolochnye/konstruktory/combo2/combo_2_0_ekko_1/";"";"";"";"Combo 2.0 EKKO 1";"Светильники";"Потолочные";"Светильники-конструкторы";"";"";"6122.00";"RUB";"";"LUMKER";"";"";"";"";"";"";"";"";"";"";"";"";"90";"";"";"";"Встраиваемый";"";"";"от 10";"";"";"";"";"Combo2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"от 795";"";"/upload/iblock/80c/80cdb150d58bdeed384789de3b2f0ba4.png";"/upload/iblock/53b/53b0cea92f445fc3e717a128d3a8a933.png;/upload/iblock/352/3529539a491b24893d6044993fcc236c.png;/upload/iblock/59b/59b05fe2264fecffe81e6d9467696517.png;/upload/iblock/213/2132cae70fcad10ae820b305ce2a0c8a.png;/upload/iblock/a92/a9228654e2c6adaadec4bf868e02ad58.png;/upload/iblock/a02/a028c0304ef627b72ed55ac14c31620b.png;/upload/iblock/38e/38e2aa6dc20579be596497d446f96e38.png;/upload/iblock/387/3879f01b88c654d99ab5647327baddbe.png;/upload/iblock/f4b/f4b0350dd2bf00ea30b6293cf1074910.png;/upload/iblock/7cb/7cb094035b449464f6e7d47661f8b51e.png;/upload/iblock/cc6/cc6e77b6bf188d316ca42a78e7a423a4.png;/upload/iblock/98c/98c80b499d156e32721c704edde0e212.png;/upload/iblock/ee5/i9q7ewmqw3nn3us2td5u1ecbjcwogoq1.png;/upload/iblock/d1a/gfejy0t6m0rixf4iip38oczpq7nbi5fm.png;/upload/iblock/88d/92z193h9qok6k5dkgxjp1kszvw15ojbc.png;/upload/iblock/144/iftmzuin58vwj5lzsa7p2jmtg8711u6c.png;/upload/iblock/c25/ts7jdx7qj46hxiqd83zx7s1ihngkiwav.png;/upload/iblock/bb7/an09ee11p6zzapyaf3lbk2889a6z2rx1.png"
"10323";"Combo 2.0 EKKO 2";"/catalog/svetilniki/potolochnye/konstruktory/combo2/combo_2_0_ekko_2/";"";"";"";"Combo 2.0 EKKO 2";"Светильники";"Потолочные";"Светильники-конструкторы";"";"";"6122.00";"RUB";"";"LUMKER";"";"";"";"";"";"";"";"";"";"";"";"";"90";"";"";"";"Встраиваемый";"";"";"от 10";"";"";"";"";"Combo2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"от 795";"";"/upload/iblock/932/9325c890e39b93312a131da43117f392.png";"/upload/iblock/c95/c9500c3bd62d38c9567435bf3833b0a1.png;/upload/iblock/b20/b202855b0dc6dd28cb6731166242b1e5.png;/upload/iblock/9f6/9f66a52cacfae5e41cd7c08e0fb2c441.png;/upload/iblock/8f9/8f9ea00bd830509c85d8d60ffc1945d0.png;/upload/iblock/16f/16f144a9af6e59305e0e2612bcbb9f60.png;/upload/iblock/e5f/e5f24986e39db07b09fd9b286da0fb27.png;/upload/iblock/650/65088d49efe5248bb6837e407d4c7a46.png;/upload/iblock/a7c/a7c017ccbf599cb853b2fed1fa927bfe.png;/upload/iblock/e02/e02cd94963e8c3afbdaef47b95fdf4f6.png;/upload/iblock/465/46580f9af7a2dbc141af4510ec0985f0.png;/upload/iblock/c4b/c4b662e8266d3d2631a4adbaea8631ac.png;/upload/iblock/525/525631dea069d7d79c3fd1e71ac60657.png;/upload/iblock/542/sep4pois1j8nkxrmjindvmx7wche3ul6.png;/upload/iblock/451/ysxs6ce4a4zvav4h7fsn23hctnzojgye.png;/upload/iblock/015/6xsniun6047rdivjx1amc1tr3fqfgfh5.png;/upload/iblock/1e2/ygmon2txacflagln4ptwfvx09bvba0pi.png;/upload/iblock/43e/foyq3o3o5jqrku83ri27506dfnq7duf8.png;/upload/iblock/929/e510cm6jaoduz78o3854v7w760b3dev9.png"
